Country,Rate
AFG,2.4
ALB,2.9
ALG,1.5
ANG,19.0
ANG,6.8
ANT,18.4
ARG,5.8
ARM,2.7
AUS,1.2
AUS,0.5
AZE,2.1
BAH,21.6
BAH,0.6
BAN,2.8
BAR,8.5
BEL,5.6
BEL,1.9
BEL,34.4
BEN,15.1
BER,7.7
BHU,1.0
BOL,7.5
BOS,1.7
BRA,22.8
BUL,2.3
BUR,18.0
BUR,21.7
CAM,19.7
CAN,1.8
CAY,8.4
CEN,29.3
CHA,15.8
CHI,3.5
CHI,1.1
COL,35.9
COM,12.2
CON,30.8
COS,11.3
COT,56.9
CRO,1.6
CUB,4.6
CYP,0.8
CZE,1.9
DEM,15.2
DEM,21.7
DEN,1.0
DJI,3.4
DOM,10.3
DOM,24.8
ECU,18.5
EGY,1.0
EL,51.9
EQU,20.7
ERI,17.8
EST,6.3
ETH,25.5
FIN,2.5
FRA,1.4
FRE,14.6
FRE,3.4
GAB,13.8
GAM,10.8
GEO,6.0
GER,0.9
GHA,15.7
GRE,1.2
GRE,10.5
GRE,13.5
GUA,7.0
GTM,46.0
GUI,22.5
GUI,20.2
GUY,21.0
HAI,5.0
HND,61.3
HON,0.5
HUN,1.5
ICE,0.0
IND,3.4
IND,8.1
IRA,2.0
IRE,1.1
ISR,2.3
ITA,1.0
JAM,59.5
JAP,0.5
KAZ,10.7
KEN,20.1
KIR,7.3
KUW,2.2
KYR,8.0
LAO,4.6
LAT,4.4
LEB,6.0
LES,33.0
LIB,10.1
LIB,2.9
LIE,2.8
LIT,8.9
LUX,2.5
MAC,1.5
MAD,8.1
MAL,36.0
MAL,1.6
MAL,8.0
MAL,1.4
MAR,4.2
MAU,14.7
MAU,3.7
MEX,12.7
MIC,0.9
MON,0.0
MON,7.9
MON,3.7
MON,19.7
MOR,1.4
MYA,10.2
NAU,9.8
NEP,3.2
NET,1.1
NEW,1.2
NIC,13.1
NIG,3.8
NIG,12.2
NOR,0.7
OMA,0.7
PAK,7.2
PAL,0.0
PAN,19.2
PAP,13.0
PAR,15.1
PER,11.7
PHI,6.5
POL,1.2
POR,1.2
PUE,21.5
QAT,0.9
REP,2.3
REP,6.5
ROM,2.3
RUS,11.6
RWA,17.1
SAI,45.0
SAI,22.9
SAI,24.7
SAM,1.1
SAO,1.9
SEN,8.7
SER,1.4
SIE,14.9
SIN,0.4
SLO,1.7
SLO,0.5
SOL,3.7
SOM,1.5
SOU,36.8
SPA,0.9
SRI,7.3
SUD,24.2
SUR,8.3
SWE,0.9
SWI,0.7
SYR,2.7
TAJ,1.8
THA,5.8
THE,1.8
TIM,6.9
TOG,10.9
TON,1.0
TRI,41.1
TUN,1.1
TUR,3.3
TUR,8.9
UGA,36.3
UKR,5.9
UNI,1.3
UNI,24.5
USA,4.6
URU,6.6
UZB,3.1
VAN,0.9
VEN,52.0
VIE,1.6
YEM,3.9
ZMB,38.0
ZIM,14.3